tweetid	text
26	RT @Nicum88  #MiPrimerEmpleo Sumamente Terrible,me pidieron 2años d experiencia y era recién graduada. Como adquirirla sin oportu
27	Eso va a cambiar.Para que nuestra Venezuela salga adelante necesitamos que todos puedan trabajar en su profesión @RonConPasas_ 
28	@gabigrazi Los jóvenes venezolanos merecen tener un empleo con calidad en el área para la que se prepararon
29	@mariape74 Juntos vamos a construir la Venezuela de #Progreso que todos queremos #HayUnCamino
30	Así será, @Cmaria1212 muchos saludos! #hayuncamino
31	¿Quién manda en las cárceles?O el Gobierno o los presos.Esa corrupción que hay en las cárceles se va a acabar,caiga quien caiga
32	@ROMIBORG creemos que es posible una Vzla productiva,con educación y #seguridadparatodos, vamos a lograrlo!
33	Hola, @humberto_79! El 7O podremos elegir un nuevo camino para Guacara y también para toda Vzla.Juntos podemos alcanzar el progreso!
34	Grande Vinotinto!Grande!Cada día estamos más cerca del Mundial,cada día avanzamos hacia una sola Venezuela unida!Arriba Venezuela!
35	Esto lo vamos a hacer en toda nuestra Venezuela.Ya son más de 150 mil mirandinos beneficiados en nuestro Plan Mi Vivienda
36	Arriba Venezuela!Arriba la Vinotinto! RT @SC_JoseM: Si hay un camino con @hcapriles y la Vinotinto a Brasil 14
37	Mil gracias, ‏@silviachips! Si trabajamos unidos por la Venezuela de progreso,la fuerza será cada vez mayor!
38	Hay un camino! ‏RT @zappazerpa: @hcapriles Henrique Capriles será el próx Presidente de una nueva y mejor Venezuela!
39	Hola @JorgeAleReyes, aquí tienes toda la información sobre las rutas http://t.co/R8ltSZnr #HayUnCamino
40	A nuestro equipo de trabajo sigamos sirviendo a los mirandinos,en Miranda trabajamos para todos por igual,nadie nos sacará de ese camino!
41	Desde hoy queda encargada de la Gobernación de nuestro Estado una gran mujer,nuestra Secretaria de Gobierno @adrianadelia
42	Buenos días,hoy día de Corpus Christi,día de nuestros Diablos Danzantes de Yare que le rinden culto al Santísimo Sacramento
43	Donde andarán los amargados que decían que Chávez no se inscribiría? Todos el #LUNESALACALLE con el Comandante de la Revolución
44	Llegando,Arriba Venezuela!Listos para recorrer este camino de alegría y esperanza con la mirada en el futuro #CaminandoalCNE
45	No hay dos Venezuela,es una sola y será de progreso,de oportunidades,segura,con empleo y sobretodo de los venezolanos!
46	Mil gracias a todos en Monagas!Que caminata tan extraordinaria!Luego la Juncal repleta!Un gran compromiso tenemos,Arriba Maturin!
47	Mientras unos creen que van a salvar el planeta nosotros vamos a solucionar los problemas que viven los venezolanos todos los días
48	Hola @gabogarme Muy pronto estaremos por Puerto Cabello! #TuVotoEsElCamino hacia el Progreso.Sigamos adelante!
49	El futuro está en nuestras manos,tenemos el mejor país para construirlo juntos,te invito a que me acompañes a hacerlo!Si se puede!
50	Venezuela quiere vida.Asumiré la responsabilidad de la seguridad de todos los venezolanos desde mi primer día como presidente @AlessTalamo
51	Otro obstáculo más que venceremos el 7Oct!El CNE con los votantes inscritos en Miami ahora aparecen migrados a Nueva Orleans!
52	Los regalos a Bielorrusia son casi 8 veces la inversión para recuperar la Carretera Lara-Zulia
53	@Yanii_cg basta de apagones,juntos vamos a construir la Vzla de Progreso.Tendremos soluciones a los problemas de los venezolanos
54	Que se olvide el Gobierno si cree que va a detener la fuerza del progreso,el deseo que tiene cada venezolano de tener un mejor país!
55	Desde hoy faltan #100días para el triunfo del 7Oct,vamos juntos en el camino hacia el progreso,la vida,un futuro mejor para todos
56	El ingreso de nuestra Venezuela a Mercosur debe dejarnos ingresos reales que se traduzcan en mejoras en la calidad de vida de nuestro pueblo
57	Nos tocará desarrollar la producción Hecho en Venezuela para que los venezolanos veamos beneficios en el proceso de integración
58	@NadimHneidi obligar a los empleados públicos a participar en actos partidistas es corrupción y (cont) http://t.co/JQ5HMZdG
59	Así es, @Arelysro! La Venezuela de Progreso la construiremos juntos! Acompáñanos en este camino! Saludos!
60	Este camino es de progreso,para que todos tengan oportunidades para salir adelante,seguridad,empleos con calidad,educación,tranquilidad
61	En toda nuestra historia de ejercicio de gobierno,en Miranda,en Baruta, siempre hemos estado con los más necesitados!
62	El Gob.bate récord mundial en años para construir alguna obra,Hospital Pérez de León,Petare,más de 10 años,millones gastados y no terminan
63	‏Donde esté un venezola que nos necesite,ahí estaremos para tenderle la mano! #HayUnCamino que comienza el #7O!
64	Muy buenos días,felicidades a nuestros arquitectos en su día. Tenemos a los mejores,hagamos de Venezuela un país de vanguardia!
65	Hola ‏@JhanderDelgado, el que habla mucho hace poco y el que habla poco trabaja mucho!Juntos vamos a construir la Venezuela de Progreso
66	Feliz noche! RT @LkaAlejandra_94:Yo como que me voy a dormir,buenas noches Capri @hcapriles u_u queria que me dijeras holaaunque sea.:'(
67	Buenos días compatriotas, 5 de Julio día de Patria, desde aquí felicitamos a todos los que aman la tierra donde nació nuestro Libertador
68	Apure,vamos llegando!!!Seguimos #PuebloxPueblo llevando nuestras propuestas #Hayuncamino
69	Un abrazo grande a todos en Capitanejo RT @anaban @hcapriles En mi pueblo... Dios te bendiga el Camino...  http://t.co/xjtBvHd4
70	Que miedo le tiene el Gobierno y su candidato al Futuro!El 7Oct serán millones de votos para recordarles quien manda en Venezuela!
71	Extraordinaria jornada #PuebloxPueblo en Monagas!9 pueblos!Mil gracias por todo ese amor,ese afecto!Sin duda #Hayuncamino
72	Un abrazo a todos los que visitaron hoy la Feria del Progreso en la Plaza Alfredo Sadel.Voluntarios, expositores!Mil gracias #HayUnCamino
73	Mil gracias por acompañarnos hoy y hacer todo el recorrido! @SoyKueen un abrazo y feliz noche!El 7Oct ganará nuestra Venezuela!
74	Por q la rueda de prensa de la oposición comenzó sin el candidato? ante su ausencia ledezma y aveledo convocaron, ahí nadie manda ni obedece
75	Hola @ASuarezQuerales y seguiremos recorriendo el país, escuchando a todos,buscando soluciones a los problemas.Seguimos adelante!
76	Hola @1990juancarlos el miedo que intenta infundir el candidato del gobierno nos da más energía y esperanza para el 7O, un abrazo!
77	Muchas gracias, @mafestruveg. La fe y el trabajo duro son indispensables para construir un país de Progreso. #HayUnCamino Un abrazo!
78	Pasado es expropiar,acabar con las empresas.Futuro es trabajar en equipo con el esfuerzo privado y los venezolanos http://t.co/Wve5jM1R
79	Muy buenos días,mil gracias por todos sus mensajes por mi cumpleaños!Esos son el mejor regalo!Que Dios los bendiga siempre!
80	Mañana estaremos en Barcelona con el Comandante Chávez a partir de las 3 pm en la avenida Jorge Rodríguez. Chávez es un Pueblo
81	Gobierno Nacional no ofrece ni vela por la seguridad de los venezolanos,ordena al Sebin seguirme,donde está una orden judicial de hacerlo?
82	Muchas gracias @ANDRADEAntonioJ. Los venezolanos queremos un cambio,tenemos la mirada puesta en el Futuro #HayUnCamino
83	Ese día el regalo será para toda Venezuela,para construir todos juntos un país de Tranquilidad y Progreso. Gracias @gabyjgl!Un abrazo!
84	@juanpa_ar Mi próximo cumpleaños Dios mediante como Presidente,pero junto a los venezolanos,como su primer servidor público
85	El mensaje del majunche a nuestra FANB se lo envió después del toque de silencio cuando los soldados están dormidos, se ve que los conoce
86	Y mañana a partir de las dos de la tarde el candidato de la Patria, estará en Barquisimeto. Los que quieran Patria vamos con Chávez
87	Los espero este domingo! Caminemos juntos por el futuro de #Caracas http://t.co/K1l4ZlcT
88	El 7Oct vamos a decidir entre el presente de estancamiento,la ineficiencia,el continuismo o un futuro de empleo,seguridad,progreso!
89	Los venezolanos queremos progreso, el #7O el pueblo será quien pase la factura.Sigamos adelante! #HayUnCamino @audiocolina un abrazo!
90	Hola ‏@lgmm1! Cualquier aporte que quieran hacer para construir este camino,lo pueden hacer aquí  http://t.co/0SnyKCEi Muchas gracias!
91	Gracias @Alejandra_Cmp27 guardo con mucho cariño todas las muestras de afecto que recibo por toda nuestra Vzla.Un abrazo a las 2
92	Al otro candidato se le acabaron las propuestas.Ellos son el pasado, nosotros el futuro.El progreso marca la pauta en Vzla! @abuepape2
93	Extraordinaria visita a nuestro querido Táchira!11 pueblos visitamos hoy!Mil gracias por todo ese cariño de nuestro pueblo tachirense!
94	En estos últimos 2 días hemos visitado 20 pueblos #PuebloxPueblo y ahora es cuando,que viva Venezuela!El futuro es nuestro!
95	Los venezolanos tendremos a partir del 7Oct un Presidente nuevo y un Gobierno nuevo que trabaje para solucionar los problemas del país
96	#PuebloxPueblo en Portuguesa,ya visitamos Turen,Piritu y Ospino,seguimos!Nuestro Pueblo en la calle con alegría,el futuro es nuestro!
97	En estos 79 días seguiremos recorriendo nuestra Vzla,escuchando a todos #PuebloxPueblo  @JAHILYNM Muchos saludos!
98	Así es, ‏@brandalh. Nuestro plan es trabajar por los venezolanos y resolver sus problemas,no salvar al planeta.Juntos podemos lograrlo! 
99	Así es @yuberlis, en nuestro Gobierno la educación será una de nuestras principales banderas.Sigamos adelante!
100	Muy buenos días a todos,un abrazo desde Lara,ya iniciando nuestro #PuebloxPueblo del día de hoy,Arriba Lara!
101	Vamos a hacer de nuestra Venezuela un gran productor de alimentos,progreso para nuestros agricultores,Hecho en Venezuela!
102	El candidato del pasado y del presente desfasado habla y habla y jamás menciona la palabra seguridad,no está en su plan de continuismo
103	Acabar con la violencia será una de mis grandes prioridades como Presidente,llegó la hora de darle tranquilidad a nuestro pueblo
104	Voy a invitar a nuestra Iglesia Evangélica para que juntos trabajemos en lograr la Paz de los Venezolanos 
105	Pero los venezolanos tenemos un camino y el 7 de Octubre derrotaremos el miedo,abriremos la puerta del futuro que es nuestro!
106	Tú propones,juntos lo logramos es la vía para construir la Venezuela del progreso.Participa! http://t.co/Y0I358ZS
107	Un saludo solidario a todos los que me escriben y envían mensajes de nuestra Tropa Profesional de la FANB,vienen tiempos mejores
108	Sí es posible @mayguel.Juntos vamos a construir una Venezuela donde existan espacios públicos seguros. #HayUnCamino
109	Vamos saliendo de la comunidad de Caño Negro en nuestro querido Barlovento,Miranda,hablando de nuestro Plan Hambre Cero
110	Vamos a llevar Hambre Cero a 700 mil familias venezolanas,ningún venezolano pasará hambre en nuestra Venezuela #Hayuncamino
111	Ahora a las 730 pm los espero a todos en el primer foro de Facebook en nuestra Venezuela http://t.co/zI2V3gsP
112	Mi solidaridad con todos nuestros empleados públicos que fueron obligados hoy a un acto político del continuismo,eso se acabará el 7Oct
113	Arriba Zaraza! RT ‏@Antocapp El flaco en mi pueblo! @hcapriles #zaraza http://t.co/OLBeWOIJ
114	Entre otros Pueblos estuvimos en Guiria,Yoco,Irapa,Yaguaraparo,el Pilar y Carúpano!En todos alegría,esperanza,futuro!Mil gracias!
115	Ya estamos cerca de visitar el pueblo número 100 en lo que va de Julio,18 Edos,y ahora es cuando hay energía,compromiso!
116	Creo en nuestro país y pongo mi confianza en todos los venezolanos. Juntos lograremos la Venezuela de Progreso @Lilijsb!
117	Este proyecto se consolida gracias al esfuerzo y confianza de todos uds.Sí podemos hacer de Venezuela un país de futuro @vane_gonzalez!
118	Muy buenos días a todos,feliz Sábado,hoy estaremos en un encuentro con nuestros activistas de Miranda,Arriba Miranda!
119	En nombre propio y de todos los integrantes de nuestro Comando Venezuela le deseamos un feliz cumpleaños al candidato Chávez
120	Inaugurande nuevoen Petare el Hospital Ana Francisca Pérez de León 2,monumento a lacorrupciónde este Gob,10 años en construcción!
121	En Miranda nuestro pueblo lo hizo en 2008,2009,2010 y ahora en el 2012!En Miranda la oscuridad quedó atrás,Arriba Miranda!
122	Hola ‏@LuisMarcano3 cada uno de nosotros tiene el poder más grande, el voto,para que nuestra Venezuela sea un país que avance!Saludos! 
123	Mil gracias por acompañarnos @verde17,como tú hay miles de empleados públicos más que el #7O votarán por el futuro!Un abrazo!
124	Miles de gracias a nuestro Pueblo de Yaracuy,extraordinarios los 6 #PuebloxPueblo que visitamos!Yaracuy también quiere Progreso!
125	Hoy presentamos desde Puerto La Cruz nuestra propuesta petrolera,para el futuro con progreso que vamos a tener!
126	PDVSA seguirá siendo 100% estadal y los recursos petroleros se traducirán en educación,empleo, salud,vivienda y seguridad!Progreso!
127	Vamos a solucionar nuestros problemas, @AngeeRojaas! Haremos lo que no se hizo.Juntos podemos lograrlo! #Hayuncamino
128	Nosotros estamos comprometidos con nuestro pueblo,sabemos que aquí hay talento de sobra. @tatamantecal un abrazo
129	Hoy todos los venezolanos estamos unidos y trabajando juntos por la Venezuela que merecemos,lo mejor que viene @Xaverivs!Arriba Venezuela!
130	Acá hay miles de venezolanos en refugios que perdieron sus viviendas y no les cumplieron,pero el tema para el Gobi es la gorra que yo uso
131	Yo como Presidente me pondré al frente del problema de la inseguridad!Mi compromiso es con la vida de ... http://t.co/5qqD17ji
132	Como lo dice nuestro Pueblo en cada visita,llegó la hora de lo nuevo!De algo mejor!Ya este Gobierno y su candidato son el pasado!
133	Nuestros Adultos mayores contarán con centros de atención en todo el país! #Hayuncamino
134	Mi compromiso como próximo Presidente de ponerme al frente para que Catia y toda nuestra Caracas y Venezuela tenga seguridad!
135	Un abrazo a todo ntro Pueblo de Miguel Peña,de la querida Valencia,hoy lo único nuevo q ofreció el Gob es cambio de Cand a la Gobernación
136	Muy buenos días a todos desde nuestra querida Maracaibo,hoy es el día del Santo Cristo de La Grita,muy pronto estaré por allá #Hayuncamino
137	Puro mal humor,regañadera a su propia gente,los números son otros,el 7Oct el pueblo elegirá el futuro,no el continuismo!
138	Nuestra opción es alegría,esperanza,nada de amenazas,ni imposiciones,ni insultos,un futuro con Progreso! #Hayuncamino
139	El #7O vamos a abrir la puerta al futuro de Vzla @goncarl67.Basta de apagones!Los venezolanos queremos soluciones http://t.co/CSHODb1z
140	Tratan de vincular los regalos con el financiamiento de las misiones y eso es falso.La salud de los vzlanos es un derecho que garantizaremos
141	Así es,@adryvic!Asumimos el compromiso de acabar con la inseguridad y el 7O comenzará el cambio.Vota por tu seguridad:http://t.co/HqzDglfr
142	Estamos sembrando en el corazón de nuestros agricultores la esperanza del Progreso,recogeremos esa cosecha el #7O en millones de votos!
143	Hola @MariaIRM tú también eres importante.Sigue estudiando porque tú y todos nuestros jóvenes nos ayudarán a construir el mejor futuro!
144	Gracias @Vilmix, el progreso nos necesita a todos.Puedes colaborar llevando el mensaje del futuro con #1AcciónxDía http://bit.ly/1porDía
145	Hoy compartimos desde nuestros Valles del Tuy la experiencia de varios emprendedores mirandinos,ese es el camino,empleo y generar+empleos!
146	En el modelo del Gobierno todo es importado,empleo para otros países,en nuestro modelo de Progreso el ... http://t.co/o5Dji7NV
147	Gracias a ti @aidapgarrido!En nuestro Gob vamos a trabajar junto a los agricultores para impulsar la producción nacional!Un abrazo
148	Me escriben de Mérida para decirme que hoy se cumplen 4 años con el Teleférico ... http://t.co/bp7G3OVB
149	Hola @jorgeantonio_8, nuestro compromiso es generar más de 3 millones de empleos con calidad. Vienen tiempos mejores para todos!
150	Así es @listrujillo. En nuestra Venezuela sobra el talento para producir y exportar,lo que necesitamos es voluntad política! Saludos!
151	Que visita tan increible hicimos en Bolívar #PuebloxPueblo!Desde Caicara del Orinoco a Ciudad Bolívar,me llevo todo ese afecto en mi corazón
152	Buena parte de la electricidad de Venezuela sale de Bolívar y la mayoría de los pueblos con apagones todos los días!El 7Oct #Hayuncamino
153	Hola, @RoelyBido Planteamos una Ley de Misiones para Todos por Igual porque nuestro pueblo no merece ser chantajeado!Feliz noche!
154	RT @CorreoOrinoco: Oposición venezolana tiene “una carta bajo la manga” en contra de las y los... http://t.co/7AHKVgJj #PSUV
155	Como siempre muy agradecido con nuestro Pueblo Zuliano hoy en esta visita #PuebloxPueblo,todo ese ... http://t.co/5aIoqi3D
156	Más cadenas de cháchara,promesas y promesas ahora recicladas luego de 14años!Las mentiras se acaban el 7O! #Hayuncamino
157	Muy buenos días a todos!Ya faltan 50 días para abrirle la puerta al futuro a nuestra Venezuela! http://t.co/lrGYVLFL Arriba!
158	Así es, @josemoyejas! Tenemos el mejor cacao del mundo y en nuestro Gob ese será un producto más de exportación #HechoenVenezuela
159	Así es @marcouz!Los que tienen 14años en el poder ya no tienen nada nuevo que ofrecer.El 7O le abriremos las puertas a lo nuevo,el futuro
160	Los trabajadores de Guayana están cansados de escuchar la misma coba,cháchara,del candidato del continuismo!El 7Oct #Hayuncamino
161	El país de productos #HechoEnVenezuela lo construiremos juntos,con un Gob promotor, orientador y facilitador,con reglas justas!
162	Crearemos las fuerzas regionales del progreso, para estimular la producción hecha por venezolanos y para los venezolanos
163	El candidato del pasado pura pantalla.Pura cháchara,horas y horas de mentiras en cadena,pero Venezuela despertó y ahora viene Futuro!
164	Solidarios con nuestro pueblo de Cumanacoa,Sucre,con Aroa,Yaracuy,varias comunidades que me reportan afectadas ... http://t.co/IhKFNo2m
165	Miles de gracias por todo ese amor de nuestro Pueblo de Nva Esparta! Boca de Río,Fuentidueño,El Tirano,Altagracia,Pedregales, Porlamar!
166	Faltan 44 días para que tengamos un Gobierno electo que trabaje para solventar los problemas y las emergencias!
167	RT @CorreoOrinoco: Cabello condena uso político y mediático sobre explosión en Amuay http://t.co/Q1eyF8o4 @PartidoPSUV #PSUV
168	Lo que hoy está fallando en nuestro país no es nuestro pueblo,no son nuestros trabajadores,es el mal gobierno que no hace bien su trabajo
169	Yo no quiero trabajadores serviles a mi persona,yo quiero trabajadores que estén al servicio de nuestra Venezuela y así será pronto!
170	Los venezolanos merecemos un país de oportunidades.Esta elección se trata de tu futuro y tu Progreso.Ese es el camino,Vzla de todos!
171	Miles de gracias a nuestro Pueblo de Carabobo,con la visita de hoy #PuebloxPueblo llegamos a todos los Municipios de este gran Estado
172	Muchas gracias x el recibimiento! Prepárense pq en Montalbán, #Carabobo y en toda Vzla lo que viene es Progreso! @CarlosStrada
173	Venezuela es nuestra, @edwardgoldch! Por eso tenemos el #PlanComprometidoContigo para que nadie se quede atrás!  http://t.co/lGwIlned)
174	El candidato del Gob vive en el pasado,cree estar en 2006 y no en 2012,lo sentimos por él,el tiempo se le agotó,viene lo nuevo,el futuro!
175	Zulia,voy llegando!Listos para otro #PuebloxPueblo hoy en San Francisco!Arriba Zulia!
176	El 7O no sólo vamos a elegir un nuevo Presidente,vamos a votar por el futuro!Empleo,seguridad,educación,salud,vivienda,Arriba Lara!
177	Gracias por el apoyo,  @argelislopezR! Tú tienes la llave para abrirle las puertas al Progreso. Juntos construimos el Futuro!
178	No más cháchara y mentiras.Nuestra Vzla merece un Presidente que haga su trabajo.El cambio lo construimos juntos, @MiguePalencia!
179	Que Asamblea con nuestras Mujeres con tanta buena energía la de esta noche en Maturín,que Dios bendiga a todas las mujeres de nuestro país!
180	Tenemos un compromiso con todas nuestras mujeres para que vivan tranquilas,seguridad,educación,protección y oportunidades para sus hijos
181	Coche,en camino!De regreso en este Estado tan querido como es Nueva Esparta!Ahora nos vemos! #Hayuncamino
182	Cada vez más vzlanos se quitan la camisa roja y se ponen la tricolor! Vzla está despertando porque sabe que puede tener un Futuro mejor!
183	Facciones del SEBIN y las FANB se revelan contra el gobierno nacional en ausencia del Comandante, quien esta en Cuba al borde de la muerte
184	Carlos Alcalá y amante CARMEN PEREZ DE FERRER http://t.co/GIbcgDa4
185	Carmen, la amante de CArlos Alcalá http://t.co/bSdbFKe8
186	El Rebolúcionario Henry Rangel Silva y sus fotos pornos http://t.co/fZ7DlfEy
187	Buenos días!Listos para trabajar por tu progreso desde el primer día.Acompáñame a construir el futuro! http://bit.ly/100DíasProgreso
188	Somos el único país en América que está padeciendo de estos apagones,responsabilidad de un Gobierno que no hace lo que tiene que hacer
189	Acabaremos con los apagones en Venezuela(2010)Palabras del candidato que lleva 14 años en el poder,otra coba más a los venezolanos!
190	Buenos días compatriotas, ya con control de la cuenta que la derecha trató de destruir, desde aqui un abrazo solidario y de agradecimiento
191	Vamos a construir una base espacial en el Edo Amazonas(2005)Palabras del candidato del Gob,un chiste u otra coba más a los vzlanos!
192	#MajuncheCorrupto, Yo no fui, no asalté la embajada,  no forjé documento de la FANB, yo no se nada de corrupción, yo no soy de PJ, descarado
193	Después de recorrer + de 250 pueblos,las Escuelas que ha construido este Gob pueden contarse con los dedos de la mano,otra coba más!
194	Sólo quedan 18 días para que esa Venezuela que todos soñamos comience, @GHenrigutti! Falta poco para el cambio!
195	Hola, @carlosfenix84. El 8 de octubre nuestra Vzla va a despertar llena de esperanza y alegría #HayUnCamino
196	Ya este Gob no tiene nada nuevo que ofrecer, @luciagraziosi. Se les agotó el tiempo.Juntos vamos a construir el camino al Progreso!
197	Miles y miles sumándose!Hoy una jornada extraordinaria que nos muestra lo que viene el 7O!El pueblo en la calle con el progreso!
198	Miranda encontró su camino,ahora le toca a nuestra Venezuela el 7O!Se cierran 14 años,ya llegó la hora del futuro con progreso!
199	A partir de mañana iniciamos una gira más por toda nuestra Venezuela antes de que los venezolanos me elijan su Presidente el 7O
200	Un abrazo a todos,hoy día de nuestra Santa Madre Virgen de las Mercedes,patrona de varios pueblos entre ellos mi querido Río Chico
201	Faltan 13 días!13 días para juntos hacer historia!Acá tienen el video de miles y miles! http://t.co/EWZmo3Qs
202	No queremos más exclusión, construiremos una Vzla con oportunidades para #todosxigual, @Mairyn_s! http://bit.ly/1porDía
203	Miles pero miles de gracias a nuestro Pueblo de Tucupita y Maturin,sin duda que vamos hacia el futuro,juntos si #Hayuncamino
204	Vienen tiempos mejores para nuestros empleados públicos. Todos a votar sin miedo pq el voto es secreto. http://t.co/jbbo4xW2
205	En 11 días vamos juntos a abrirle la puerta al futuro,al progreso para todos por igual! http://t.co/o2WB84wr
206	El 7O cuando estén frente al tarjetón, voten por uds,por la Vzla que queremos construir: seguridad,salud, empleo,educación.El futuro!
207	Mañana los espero a todos en la tarde en Valencia en el Estadio José Bernardo Pérez,será otro llenazo + por el futuro de Carabobo y Vzla!
208	Se imaginan debate entre desmontaje del sistema neocolonial(llevan 14años)vs plan de producción nacional,crear 6 millones de nvos empleos
209	Sucre,allá vamos!Sólo faltan 10 días para que juntos hagamos historia,llegó la hr del futuro y de un mejor país para todos por igual!
210	Muy buenos días,a sólo 9 días!Vamos Venezuela!Valera ahora nos vemos! #Hayuncamino
211	Hola, @enriquecastro11! Hemos recorrido el país compartiendo ntro Plan para el Progreso. Lo puedes revisar aquí:  http://t.co/HJRpdwlD
212	Cuántos vzlanos duermen hoy en un refugio?Cuántos pueblos sin una ambulancia?Para el candidato del continuismo otro satélite!7O esto cambia
213	Los venezolanos vamos hacia un futuro mejor,de paz,de tranquilidad,y nadie nos quitará el derecho de alcanzarlo,el pueblo hablará el 7O
214	Falta una semana,7 días para que iniciemos la construcción de una Venezuela de progreso!Mi columna semanal http://t.co/NeFKdHbd
215	Mi abrazo y agradecimiento a los miles de miles que hoy salieron a acompañarme en Ccs,que Dios los bendiga siempre! #Hayuncamino
216	RT @CorreoOrinoco: Pueblo bolivariano se ha volcado a la calle en ofensiva final http://t.co/9ltElKjk @ComCarabobo @BarinasPrensa
217	Ahora estaremos en vivo a las 10 por Televen,miles de gracias por todos sus mensajes,feliz noche! #Hayuncamino
218	Mérida se desbordó con puro pueblo merideño,no de otros Edos,miles de miles de gracias,los llevo en mi corazón!#Hayuncamino
219	Millones de gracias a todos los que me acompañaron durante estos meses,por abrirme las puertas de sus hogares y llenarme de fuerza!
220	Ya sabes!El VOTO es SECRETO! Cuando estés frente al tarjetón #VOTAporTI ..&gt; http://t.co/vfLlyrJw
221	Yo voy a votar por ti! http://t.co/S68Eomf1
222	Gracias a ti y a todo el pueblo de Táchira por su apoyo, @lorebornacelly. Su alegría y su esperanza me da la fuerza que tengo
223	Los invito a seguir @HayunCamino y @ComandoVENE, por ahí tendrán la información oficial del Comando Venezuela
224	Llegó el gran día,hermanos uds son los héroes,protagonistas de este día histórico,sintámonos orgullosos de ser venezolanos!
225	Son casi las 6 pm,los centros deben cerrar a las 6 pm,salvo donde hayan personas en cola!Ha sido una gran jornada!
226	Calma,cordura,paciencia!Hoy fue una jornada histórica,grandiosa,un pueblo que habló!Sabemos lo que pasó y debemos esperar!Que viva Vzla!
227	Se las pongo facilito presenten el video ante el país de mis supuestas declaraciones sobre el tema de la inseguridad, vamos pues mentirosos
228	Con el respeto a quienes piensan distinto,un grupo no tiene derecho a destruir lo logrado,somos millones y esta lucha no ha terminado
229	Muy buenos días a todos,hoy a mediodía voy a inscribirme para continuar nuestra gestión de progreso en Miranda,el camino sigue!
230	Vamos a seguir trabajando en Miranda pero también en toda nuestra Venezuela!Podemos y vamos a hacerlo juntos
231	Miles de miles de gracias a nuestro Pueblo Mirandino!Miranda encontró su camino y el camino continúa con todos uds!
232	Miranda es de los mirandinos.No permitiremos que los corruptos,ni la politiquería destruyan las conquistas de ntro pueblo @NinoskaEvelyn
233	.@HCapriles Radonski: “Seguiremos demostrando cómo se puede gobernar bien y para todos” - http://t.co/CbXYKqsM
234	@Pr1meroJusticia @hcapriles juan carlos caldera  vamos adelante
235	.@HCapriles Radonski: “Seguiremos demostrando cómo se puede gobernar bien y para todos” - http://t.co/CbXYKqsM
236	.@HCapriles se inscribió para la reelección: “Perdimos un juego, pero Miranda no regresará a la oscuridad” - http://t.co/fULnXX2d
